,Name,DateTime,OutcomeType,AnimalType,AgeuponOutcome,Color,Day_of_Week,Hour_0,Hour_12and13,Hour_14and15,Hour_16and19,Hour_17and18,Hour_7and8,Hour_9,Hour_other_time,My_Breeds_Australian Cattle Dog,My_Breeds_Australian Shepherd,My_Breeds_Border Collie,My_Breeds_Boxer,My_Breeds_Bulldog,My_Breeds_Catahoula,My_Breeds_Chihuahua Shorthair,My_Breeds_Dachshund,My_Breeds_Domestic Longhair,My_Breeds_Domestic Medium Hair,My_Breeds_Domestic Shorthair,My_Breeds_German Shepherd,My_Breeds_Husky,My_Breeds_Labrador Retriever,My_Breeds_Miniature Poodle,My_Breeds_Pit Bull,My_Breeds_Rat Terrier,My_Breeds_Rottweiler,My_Breeds_Siamese,My_Breeds_other
15419,1,2014-03-10 17:00:00,Transfer,1,2.0,Tan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3716,0,2015-05-09 14:42:00,Transfer,0,0.05555555555555555,Black/White,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24635,1,2016-01-06 08:43:00,Adoption,0,0.16666666666666666,Cream Tabby/White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2145,1,2014-04-30 16:43:00,Adoption,1,6.0,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6429,0,2014-08-05 11:48:00,Transfer,1,7.0,Black/White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1694,0,2015-11-13 15:27:00,Transfer,0,0.05555555555555555,Orange Tabby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6769,1,2014-12-03 17:39:00,Euthanasia,1,3.0,Black Brindle/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13342,1,2014-11-22 12:55:00,Return_to_owner,1,2.0,Blue/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18732,1,2015-05-26 12:58:00,Adoption,1,1.0,Red/White,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23028,1,2016-01-23 16:01:00,Transfer,1,0.08333333333333333,Black,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12862,1,2014-12-07 11:03:00,Transfer,1,1.0,Red,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10684,0,2014-06-03 11:08:00,Transfer,0,0.00821917808219178,Blue Tabby,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22451,1,2013-12-27 17:02:00,Return_to_owner,0,12.0,Black/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12728,1,2015-10-21 13:36:00,Transfer,0,1.0,Brown Tabby/White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9939,1,2014-10-04 17:00:00,Adoption,1,12.0,Chocolate,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18851,0,2015-03-29 12:46:00,Adoption,1,0.25,Black/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18167,1,2015-10-20 09:39:00,Adoption,0,0.25,Black,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17384,0,2015-01-09 17:07:00,Transfer,1,0.5,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12775,1,2016-01-16 14:56:00,Transfer,1,0.3333333333333333,Fawn,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5814,1,2013-11-10 16:49:00,Adoption,1,1.0,Red Merle/White,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13874,0,2014-06-08 19:22:00,Euthanasia,0,0.4166666666666667,Torbie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7953,1,2015-10-24 12:20:00,Adoption,1,11.0,Red/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3486,1,2013-10-12 11:27:00,Adoption,0,11.0,Black,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11944,0,2015-09-23 17:32:00,Adoption,1,8.0,Black/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21982,0,2015-07-18 20:26:00,Adoption,0,0.16666666666666666,White/Black Tabby,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5614,1,2014-07-18 16:24:00,Return_to_owner,1,6.0,Brown Brindle/White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17084,1,2015-08-04 14:15:00,Adoption,0,0.25,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11523,1,2015-10-24 12:34:00,Adoption,1,0.5833333333333334,Blue Merle,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2528,0,2014-07-17 14:16:00,Euthanasia,0,1.0,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17229,1,2015-11-27 12:22:00,Adoption,1,0.4166666666666667,Tricolor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13244,1,2016-02-11 14:20:00,Adoption,1,0.5,Yellow Brindle/White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21826,1,2015-10-18 12:15:00,Transfer,1,9.0,Red,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20958,1,2014-05-14 11:05:00,Return_to_owner,1,2.0,Black/Brown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13654,1,2013-10-13 15:29:00,Adoption,1,2.0,Black/White,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23557,1,2015-11-30 18:23:00,Adoption,1,0.08333333333333333,Tricolor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2554,0,2013-10-03 15:33:00,Transfer,0,0.3333333333333333,Blue Tabby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8733,1,2015-08-28 17:12:00,Return_to_owner,1,0.4166666666666667,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7684,1,2015-08-07 15:47:00,Return_to_owner,1,7.0,Brown/Tricolor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25393,0,2015-04-02 09:00:00,Transfer,0,0.6666666666666666,Black/White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26377,1,2015-06-19 17:30:00,Return_to_owner,1,4.0,Fawn/Blue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25308,1,2016-02-11 19:06:00,Adoption,1,4.0,Red/Tan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11545,1,2015-11-30 16:37:00,Return_to_owner,1,2.0,Blue/White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11316,1,2015-10-29 12:25:00,Adoption,1,0.5,White/Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21606,1,2014-10-07 16:23:00,Transfer,0,0.5,Black/White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2336,1,2015-05-25 18:35:00,Adoption,1,0.3333333333333333,Black/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8223,1,2014-06-18 14:49:00,Adoption,1,1.0,Sable,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6711,1,2015-06-23 15:52:00,Return_to_owner,1,8.0,Black/Brown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22291,1,2014-11-07 13:35:00,Transfer,0,0.16666666666666666,White/Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24198,0,2015-06-14 14:35:00,Transfer,0,0.07407407407407407,Orange Tabby,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11150,1,2013-11-04 15:52:00,Transfer,1,5.0,Brown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11667,1,2016-01-12 00:00:00,Transfer,1,0.16666666666666666,Black/White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5736,1,2014-09-20 16:23:00,Adoption,1,2.0,Brown Brindle,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22554,1,2013-12-15 15:55:00,Adoption,1,1.0,White/Black,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18699,0,2014-08-31 09:00:00,Transfer,0,0.3333333333333333,White/Orange Tabby,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1627,0,2013-10-14 16:05:00,Transfer,0,0.5833333333333334,Tortie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19018,1,2014-04-02 16:48:00,Return_to_owner,1,4.0,Tan/White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24500,1,2013-11-17 13:51:00,Adoption,0,7.0,Black/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
564,1,2016-02-07 12:42:00,Transfer,1,0.4166666666666667,Black/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,1,2014-03-29 11:26:00,Return_to_owner,1,9.0,Black/Brown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19255,1,2014-01-03 14:36:00,Return_to_owner,1,1.0,Tan/White,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7529,1,2014-11-23 17:42:00,Adoption,1,0.5,Black/White,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13497,1,2015-07-07 12:12:00,Return_to_owner,1,14.0,Black/Brown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11861,1,2014-09-21 18:14:00,Euthanasia,0,1.0,Orange Tabby/White,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22187,1,2014-06-19 14:54:00,Transfer,0,0.08333333333333333,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20821,1,2015-04-07 18:22:00,Return_to_owner,0,0.9166666666666666,Black/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20824,1,2014-09-04 14:25:00,Transfer,0,1.0,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1856,1,2014-09-05 16:59:00,Adoption,0,0.16666666666666666,Black,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22510,0,2014-04-26 15:31:00,Transfer,0,0.05555555555555555,Blue Tabby,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21858,0,2015-01-27 18:43:00,Adoption,1,5.0,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26296,1,2013-11-16 15:08:00,Transfer,1,1.0,White/Brown Brindle,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9731,1,2014-03-15 17:49:00,Transfer,1,0.6666666666666666,Brown/Black,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17930,1,2013-12-23 12:42:00,Return_to_owner,1,2.0,Brown/White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5586,1,2015-03-21 18:15:00,Adoption,1,2.0,Brown/White,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21119,1,2013-10-05 12:31:00,Adoption,1,1.0,Black/Tan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10790,1,2015-06-01 18:35:00,Adoption,1,0.5,Red/Tricolor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10221,1,2013-11-21 18:11:00,Adoption,0,0.16666666666666666,Brown Tabby/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8922,1,2015-05-24 17:20:00,Adoption,1,2.0,White/Orange,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22744,0,2016-01-30 15:17:00,Adoption,1,1.0,Black/Tan,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9807,1,2014-05-04 18:37:00,Adoption,0,0.16666666666666666,Seal Point,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17324,0,2015-11-09 18:24:00,Adoption,0,0.3333333333333333,Black/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21084,0,2015-09-14 17:16:00,Transfer,0,0.05555555555555555,Brown Tabby/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6821,0,2015-03-29 09:00:00,Transfer,0,2.0,Calico,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25597,1,2014-07-19 13:07:00,Transfer,0,0.07407407407407407,Blue/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6155,1,2015-07-15 19:02:00,Adoption,0,0.16666666666666666,Brown Tabby,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18353,1,2014-04-21 13:17:00,Transfer,0,2.0,Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20886,1,2015-07-19 13:34:00,Adoption,0,0.16666666666666666,Brown Tabby/White,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
568,1,2013-11-15 17:50:00,Adoption,1,12.0,Tricolor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
719,1,2015-10-09 08:53:00,Adoption,0,0.16666666666666666,Torbie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25878,1,2015-09-30 13:20:00,Return_to_owner,1,0.3333333333333333,Black Brindle/White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7423,1,2015-05-29 18:23:00,Adoption,1,0.25,Yellow/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17140,1,2014-12-21 13:23:00,Return_to_owner,1,11.0,Buff/Tan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12043,1,2015-06-24 15:08:00,Adoption,1,0.16666666666666666,Tan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22655,1,2014-03-10 15:50:00,Adoption,1,2.0,Tan/Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9837,0,2015-07-18 19:44:00,Adoption,0,0.16666666666666666,Black,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10368,1,2015-04-03 13:34:00,Transfer,1,1.0,Black/White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6766,1,2013-10-22 17:34:00,Transfer,1,1.0,Red/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25302,1,2015-01-18 11:47:00,Adoption,1,4.0,Brown/White,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12606,1,2015-05-19 15:49:00,Adoption,0,0.08333333333333333,Black/White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9119,0,2015-03-12 09:00:00,Transfer,0,1.0,White/Gray,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
